Comment,Emotion,Processed_Comment
i feel more superior dead chicken or grieving child,joy,feel superior dead chicken grieve child
i get giddy over feeling elegant in a perfectly fitted pencil skirt,joy,get giddy feel elegant perfectly fit pencil skirt
i remember feeling acutely distressed for a few days,fear,remember feel acutely distressed day
i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,surprise,see hear read past couple day leave feel impressed company
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,anger,climb hill feeling frustrated pretty much pace entirely wrong course factor never ever hamper make dent day
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,joy,imagine real life scenario would emotionally connect enough someone feel totally accept safe morally acceptable close prolonged physical contact sex expect subsequently
i am not sure what would make me feel content if anything,joy,not_sure would make feel content anything
i have been feeling the need to be creative,joy,feel need creative
i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,joy,however want know something someone cause feel less splendid self step away
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,anger,feel bit rude writing elderly gentleman ask gift feel bit greedy christmas not_mild greed
i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,joy,need need someone need protect feel safe small find season word
i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,joy,plan share everyday life story travel adventure inspiration handmade creation hope also feel inspire
i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,joy,already christmas tree get two feel festive sure spur get start book
ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,joy,wear little concealer day feel brave not_want pale perfect
i feel very strongly passionate about when some jerk off decides to poke and make fun of us,joy,feel strongly passionate jerk decide poke make fun
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,sadness,feel discouraged already rob peter pay paul get cow year not_afford not_get cow way
i was feeling listless from the need of new things something different,sadness,feel listless need new thing something different
i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,joy,lose special mind worry still sane want feel feel read book know many time say sam special guarantee many time use paragraph tell special
i can t let go of that sad feeling that i want to be accepted here in this first home of mine,love,let sad feeling want accept first home mine
on a boat trip to denmark,joy,boat trip denmark
i stopped feeling cold and began feeling hot,anger,stop feel cold begin feel hot
i need to feel the dough to make sure its just perfect,joy,need feel dough make sure perfect
i found myself feeling a little discouraged that morning,sadness,find feel little discourage morning
i feel selfish and spoiled,anger,feel selfish spoil
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,fear,stymie little bit write feeling unsure might somewhere story unintende
i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,joy,bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skin scissor sister valentine sun feed kayle daddy gerle awake unkind
i feel you know basically like a fake in the realm of science fiction,sadness,feel know basically like fake realm science fiction
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,sadness,hate live dad roof give excuse asshole provide live think feel need make feel unwelcome possible ill leave
i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,surprise,keep feel pleasantly surprised supportiveness also ease new situation
i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,joy,feeling anymore vigorous sexual activity come yes misspell cumme day part begin fall
i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,joy,feel mom graceful warm love smile rob time nurture heal
i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,joy,feel talk brother law extremely popular one think stiff
i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,love,eat could feel gentle tingle throughout almost feel healing take place cellular level
i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,fear,feel like pressure young beautiful thin depend trend girl rejuvenate butt implant
i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,fear,begin several time week feeling torture hallucination move people figure sound vibration
i am now nearly finished the week detox and i feel amazing,surprise,nearly finish week detox feel amazing
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,anger,feel selfish read back former post never ask prayer other never consider may other deserve prayer answer
i know the pain parents feel when an enraged child becomes violent,anger,know pain parent feel enraged child become violent
i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,sadness,roller coaster emotion suppose feeling something unpleasant come
i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,love,suppose truth need share not_been feel faithful lately dwell doubt uncertainty faith
i was feeling brave when i bought it and clearly when i was doing my makeup,joy,feel brave buy clearly makeup
i am feeling miserable but c i am also the proudest mum on earth,sadness,feel miserable also proud mum earth
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,sadness,figure family love matter around anyone else feel embarrassed michelle go ballistic
i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,joy,necessarily think bomb sex necessary story feel reassure see print journal
i can feel my ovaries aching talking to me as i like to put it,sadness,feel ovary ache talk like put
i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,sadness,feel like much chris mostly take many picture unimportant stuff
im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,sadness,tired book ready find give unsuitable image feeling blame result not_sit well
i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,joy,successfully manage stretch mxm canvas feel achievement worthwhile usage money time use canvas future brief
i think feelings are one of nay the most important things we have,joy,think feeling one nay important thing
i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,joy,feel completely honor influence young talente fully alive beautiful girl woman
i feel angered and firey,anger,feel angered firey
i feel like a miserable piece of garbage,sadness,feel like miserable piece garbage
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,anger,feel like need make list leanne would appal thought not_miss anything
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,anger,drive dannika school feel little bit rush greet turn corner
i remember feeling so hellip furious with the shooter,anger,remember feel hellip furious shooter
i feel very happy and excited since i learned so many things,joy,feel happy excited since learn many thing
i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,joy,feel show around show horse people trust relaxed show horse safe quiet handle frequently
i only have a couple of things left to make and at the start of december i am done and feeling smug,joy,couple thing leave make start december do feel smug
i think about how u could make me feel and realize that everything will be ok,joy,think could make feel realize everything
i feel so worthless during those times i was struggling finding work,sadness,feel worthless time struggle find work
i will be able to lay on my bed in the dark and not feel terrified at least for a while,fear,able lay bed dark not_feel terrify least
i was ready to meet mom in the airport and feel her ever supportive arms around me,love,ready meet mom airport feel ever supportive arm around
im feeling bitter today my mood has been strange the entire day so i guess its that,anger,feel bitter today mood strange entire day guess
when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,sadness,mum brother pass away involve car accident bring present pass form five exam fly colour
i am letting go of the animosity that is towards anyone that i feel has wronged me,anger,let animosity towards anyone feel wrong
i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,love,talk dog feel understand word read emotion know supportive decide home
i feel like throwing away the shitty piece of shit paper,sadness,feel like throw away shitty piece shit paper
im starting to feel wryly amused at the banal comedy of errors my life is turning into,joy,start feel wryly amuse banal comedy error life turn
i find every body beautiful and only want people to feel vital in their bodies,joy,find every body beautiful want people feel vital body
i hear are owners who feel victimized by their associations the associations attorneys or the property manager,sadness,hear owner feel victimize association association attorney property manager
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,anger,say goodbye fam sad crying feel like heartless bitch hey pretty excited fly first time know also spend year another country
i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,love,not_let child cry feel love lily little go opportunity last short month
i alba i feel good and im fitting in,joy,alba feel good fitting
i feel excited about what im doing again i feel like i have a ton of catching up to do,joy,feel excited feel like ton catch
i also know how good it feels to look back and see that i honored my word and that helps from the start,joy,also know good feel look back see honor word help start
i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,sadness,mean really really hard work obtain high technical skill wushu feel kinda ashamed somehow motivate see kid wushu performance whole heartedly despite tiredness
i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,joy,feel like thing get little overwhelming spritz toner really help calm soothe
i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,joy,hope realize little effort require make person feel well situation whether family member college high school friend neighbor street even complete stranger
i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,joy,feel festive today even go put tree soon finish catch week going ons coronation street
finding out that i am not ill not seriously,joy,find not_ill not_seriously
i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,sadness,alright class combination feel unsuccessful man handle stress late horrible week result almost cry finish grapple
i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,joy,feel rarely advance worthwhile cause always stick rule not_poste anything online not_be prepare say somebodys face
i am feeling all useful,joy,feel useful
i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,love,feel like pain imagine become passionate group idea cause pain
i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,sadness,feel ugly inclined wear ratty jean sweatshirt beautiful dress though might still wear pair heel around house boost self esteem ever slightly definitely bother buy new pair
im not feeling homesick yet so im feeling alright about this,sadness,not_feele homesick yet feel alright
i dance i should feel pretty,joy,dance feel pretty
i workout every morning before and feel fabulous for it,joy,workout every morning feel fabulous
i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,sadness,feel eye not_from touch word eye know assuredly return love know shall not_be vain
i was feeling fabulous until friday morning when i started to get these awful cramps at work,joy,feel fabulous friday morning start get awful cramp work
i feel honoured to have been able to call them friends to share their brotherhood,joy,feel honoured able call friend share brotherhood
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,fear,begin feel apprehensive thick black rain cloud storm sky town
i had stated to her the reason i feel so fearful is because i feel unsafe,fear,state reason feel fearful feel unsafe
i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,fear,feel like getting shake tsa quite yet pull side creative croissant lunch
i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,sadness,get group feel really awkward overcompensate talkative get really quiet
i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,love,excited finally meet companion companion time especially lonely lonely companion never disappoint companion put arm around make feel loved
i feel they are pretty safe on my blog img src http s,joy,feel pretty safe blog img src http
i feel pretty eager to get it done as i have a fun plan for quilting it,joy,feel pretty eager get do fun plan quilt
i am feeling horny so i ask her that lets go home,love,feel horny ask let home
i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,fear,think poem put pressure feel uncomfortable sense feel feel understand understand love able love
i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,surprise,feel stranger strange land raise son place not_his father ancestral home
i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,joy,leave shower question feel gorgeous fantastic body confident movement effortlessly graceful
i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,joy,feel energetic bouncy happy gym run around outside kid take pram long walk often three one day
i was still feeling strong,joy,still feel strong
i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,joy,burst tear devastating release feeling thought seem know rich also space without dump
i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,anger,want get pumpkin spice latte morning hot last thing want hot coffee maybe feel little bitter
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,fear,suppose feel badly bit skeptical pain last month hyperchondria exaggeration habit past though never openly question
i clench to the corners of the bed to feel assured,joy,clench corner bed feel assured
i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,anger,also feel like selfish not_bee grateful life amazing thing
i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,love,call god see god book figure god right name feel utterly affirm accept without question
i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,anger,know perhaps girl office nice short hair perhaps feel rebellious
i do not feel miserable at all because my family is not the type that celebrates eid,sadness,not_feel miserable family not_the type celebrate eid
i might go get a car wash if i am feeling really generous my car needs it,joy,might get car wash feel really generous car need
i still feel sleep deprived she is almost sleeping through the night giving us,sadness,still feel sleep deprive almost sleep night give
i just feel really violent right now,anger,feel really violent right
i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,joy,blog sit feel content dog amp cat etc know lucky truth
i started feeling funny and then friday i woke up sick as a dog,surprise,start feel funny friday wake sick dog
i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,sadness,feel need protect parent witch hunt repress memory therapy
i feel disgusted to even be associated with this woman by my race and nationality,anger,feel disgusted even associate woman race nationality
i laughed then bitterly again but i wasnt feeling bitter,anger,laugh bitterly not_feele bitter
i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever,sadness,know feel think wish could know however much hat first experience would remember forever
i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,joy,feel quite mellow want soft easy look wear beginning cold
i told him that maybe i just need time to think how ive been feeling indecisive about things lately,fear,tell maybe need time think feel indecisive thing lately
i still feel it does the genre a disservice when stories are resolved artifically,joy,still feel genre disservice story resolve artifically
i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed,joy,always know feel artistic write name artistic mood manitz draw circle not_a dot big dot artistic feel line like accent mark spanish piss
i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off,fear,remember feel really terrify brazil bus go steep mountain hill side mountain middle big storm wonder go fall
i could feel her whimper to the thought of being unloved and uncared for,sadness,could feel whimper thought unloved uncare
im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,surprise,certainly not_goe sit tell go personal life feel ever curious go life watch show
im sorry that there wasnt more humor in this post but im not feeling all that funny,surprise,sorry not_more humor post not_feele funny
i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains,joy,feel get foot door fantastic world walk run trail fell mountain
i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,anger,say whatever come mind tell directly feel jealous girl not_because insecure love person trust worthy friend sweet one love
i feel strange coming back to work after my one day holiday,fear,feel strange come back work one day holiday
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,anger,clearly influence dash happiness emily dickinson example use dash instead colon semi colon enhance feeling rush enjambment sonnet
i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls,sadness,fat thing life remain control whether not_i get eat peanut butter bread get home impossible day first world look yet third world feel hell needy neglect little girl
i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,anger,could claim redeem genre leave feel entirely frustrated point beat head wall either
i feel so sad and hopeless,sadness,feel sad hopeless
im getting the feeling that my classes are a little intimidated by the concept of a lit,fear,get feeling class little intimidate concept lit
i still feel groggy but i have to get up to do the routine for my son,sadness,still feel groggy get routine son
i have a feeling my view isnt going to be very popular and thats fine,joy,feeling view not_goe popular fine
i want to hold this feeling of shocked awe and wonder forever,surprise,want hold feeling shocked awe wonder forever
when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures,fear,hear rumour year exam result fear might one failure
i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes,joy,want feel value appreciate know people love not_goe anywhere even nature relationship change
i know there are days in which you feel distracted,anger,know day feel distracted
i use it regularly with relaxing music and always feel invigorated afterward,joy,use regularly relax music always feel invigorated afterward
im feeling distracted i tend to practice with my eyes shut as much as possible,anger,feel distracted tend practice eye shut much possible
i feel like its perfect a w see youtube has its influences i even know trends,joy,feel like perfect see youtube influence even know trend
i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol,fear,specifically want tango feel shy mak quite opposite hard get far enough away get good pic lol
i also didn t feel very weird sleeping in my bed while the two of them slept in hers,fear,also feel weird sleep bed two sleep
i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy,sadness,wish okay think early today here thing coope amp restless make feel needy
ive lost some weight such that i could fit into a tiny skirt that ive been unable to wear because i didnt feel confident in it until now,joy,lose weight could fit tiny skirt unable wear not_feel confident
i hope to feel a bit more creative again soon and miss its presence in my life blog,joy,hope feel bit creative soon miss presence life blog
i am no fan of the current president i am a conservative and it made me feel unwelcome,sadness,fan current president conservative make feel unwelcome
i will enclose her verses on her could not weigh much more thinking and feeling curious to hear the odd couple,surprise,enclose verse could not_weigh much thinking feel curious hear odd couple
i begin to feel complacent with my life here,joy,begin feel complacent life
i feel vulnerable and alone,fear,feel vulnerable alone
i remember feeling inspired and thinking that it was a fine example of parenting,joy,remember feel inspired think fine example parent
i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving,sadness,feel like always one getting punish stupid thing feel like chastise behave
i really feel that my life is perfect right now and if it isnt too much to ask for i just hope that everything would stay the same,joy,really feel life perfect right not_too much ask hope everything would stay
im there i simply feel contented,joy,simply feel contented
im not saying cut everyone out of your life but i feel its important to find comfort in solitude meditation or working on projects alone,joy,not_saying cut everyone life feel important find comfort solitude meditation work project alone
i think im just being stupid feeling nervous,fear,think stupid feeling nervous
i feel honored by it,joy,feel honor
i was feeling an act of god at work in my life and it was an amazing feeling,surprise,feel act god work life amazing feeling
i feel im like a bird flying in the air in a very carefree manner,joy,feel like bird fly air carefree manner
i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,anger,revise reply mind make sure reply sound appropriate enough person receive reply not_feel offended
i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me,sadness,feel sad friend mine die feel something irrevocably go away
i died would alex and matt feel regretful for not coming to visit,sadness,die would alex matt feel regretful not_coming visit
i feel that educating families and supporting and educationg mamas and papas is key,joy,feel educate family support educationg mama papa key
im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,anger,sure lose feel like everyone hostile toward hate feel
i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage,sadness,feel like boring sewing make since easy nothing else say fabric usage
i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly,joy,always like use original fragrance freshen lightly scent underwear drawer feel gorgeously glamorous girly
i feel like i talented young man i don t feel talented then i don t to work with,joy,feel like talente young man feel talented work
i feel curious about all this things around,surprise,feel curious thing around
i feel the reason were apart of each others lives is because im in his to help him become something to push him to succeed and be successful and happy,joy,feel reason apart other live help become something push succeed successful happy
i feel now so uncomfortable with all of them i guess is me,fear,feel uncomfortable guess
i feel pretty mellow so far about whatever healing wounding process may be getting underway,joy,feel pretty mellow far whatever healing wounding process may get underway
i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances,fear,wonder sometimes whether add antagonism misunderstand many people towards feel reluctant wholeheartedly support traditional armistice day remembrance
i legs would feel shitty for a few miles but would come around like they always do,sadness,leg would feel shitty mile would come around like always
i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now,fear,know unfair reaction run way explain feel shake good come right
i seriously feel so blessed for the support that i have at home it s amazing,love,seriously feel blessed support home amazing
i feel abused and maligned but mostly tired of the nervous feeling anticipating danger,sadness,feel abuse malign mostly tired nervous feeling anticipate danger
i am feeling pretty restless right now while typing this,fear,feel pretty restless right type
i know gosman s is a touristy place to go if you are in the montauk area but infrequent visitors to this area want to head there for the harbor feel the gentle cawing of the seagulls lapping water against the wood pilings and relaxing breeze coming in off the water,love,know gosman touristy place montauk area infrequent visitor area want head harbor feel gentle cawing seagull lap water wood piling relax breeze come water
i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy,sadness,admit hilarious card seriously exactly feel stress feel moment could start
i wrote last year when i was feeling more dull and inarticulate than normal,sadness,write last year feel dull inarticulate normal
id kick myself into gear but i just feel irritable with no motivation what so ever,anger,kick gear feel irritable motivation ever
i feel as a child innocent feelings illustrating a,joy,feel child innocent feeling illustrate
i have the satisfaction of feeling that i m no longer supporting or contributing to the looter driven consumerism that has made a walking corpse out of the america i so revered when i was younger,love,satisfaction feeling long support contribute looter drive consumerism make walking corpse america revere young
i will start to feel resentful,anger,start feel resentful
i will spend my vacation on me no obligations no headaches no feeling like i am being emotional blackmailed into being three places at once,sadness,spend vacation obligation headache feeling like emotional blackmail three place
i feel herpes coming i would be very surprised at this point if i make it out again after my checkup at the clinic on wednesday,surprise,feel herpe come would surprised point make checkup clinic wednesday
i feel so fucked like everyday of my life,anger,feel fuck like everyday life
ive worked really hard all year to try to make each child in the class feel like they are valued,joy,work really hard year try make child class feel like value
i am feeling disheartened with my words as of late,sadness,feel dishearten word late
i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,anger,feel like bitchy time upon retrospect think try shake
i still second guess myself and still have a terrible time making definitive decisions but there are certain truths that i do know about myself and i feel assured by those truths,joy,still second guess still terrible time make definitive decision certain truth know feel assure truth
i don t feel like eggs benedict i ll have something equally delicious,joy,feel like egg benedict something equally delicious
im feeling my way through and trusting myself,joy,feel way trust
im feeling inspired by all the summery elements of my favorite past time beach bummin,joy,feeling inspire summery element favorite past time beach bummin
i can feel that she smiled i love you even more gorgeous,joy,feel smile love even gorgeous
i continue to define and discover what home can mean here in amsterdam whenever i feel a pang of blank sickness it is more in line with missing the cultural mindset of american city life which is much different from the cultural mindset of amsterdam,sadness,continue define discover home mean amsterdam whenever feel pang blank sickness line miss cultural mindset american city life much different cultural mindset amsterdam
i make an arcade i have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely,joy,make arcade simple purpose try make feel absolutely comfortable physically emotionally practically absolutely
i can t say i feel all that sympathetic,love,say feel sympathetic
i was feeling over eager and hopped on to the tube to ride the eye of london,joy,feel eager hop tube ride eye london
i go online and i see a friend talking to another one and is not talking to me i feel ignored i feel unloved,sadness,online see friend talk another one not_talke feel ignore feel unloved
i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended please dont stop by here again,anger,not_monitore say anything ever come across blog feel offended please not_stop
i feel like that s so weird that i had cancer that one time,surprise,feel like weird cancer one time
i want to feel safe and well and that maybe just maybe theres a small chance my i can feel joy and my dreams can come true,joy,want feel safe well maybe maybe small chance feel joy dream come true
im feeling cranky,anger,feel cranky
i also think it is puzzling that after this particular administrator has singled me out for praise on my ability to get my students to read that he feels that ssr time is not a productive use of class time,joy,also think puzzle particular administrator single praise ability get student read feel ssr time not_a productive use class time
i tried to fill it by befriending people that i knew were only using me but i didnt care because i needed to feel accepted even if it was by some complete loser,love,try fill befriend people know use not_care need feel accept even complete loser
i feel stressed always,sadness,feel stressed always
i remember feeling another cramp but i also ignored it,sadness,remember feel another cramp also ignore
i hope i feel mellow well fed well slept at peace with myself within this external world,joy,hope feel mellow well feed well sleep peace within external world
i have also learned it takes a lot of effort and positive thinking for me not to break down in tears over feeling exhausted and guilty for not being a better mom,sadness,also learn take lot effort positive thinking not_to break tear feel exhausted guilty not_bee well mom
im feeling awful because we hung out with my friend and her new baby the day before,sadness,feel awful hang friend new baby day
i feel very relaxed and fine,joy,feel relaxed fine
i feel the suffering and i really feel the pain,sadness,feel suffering really feel pain
i go to sleep i feel as if i m giving up precious time to do something else with my life,joy,sleep feel give precious time something else life
i feel like i ve been neglecting my beloved mom blog,joy,feel like neglect beloved mom blog
i shalt say we did cos i din feel a thing when he wrote hw he is keen on xxx,joy,shalt say cos din feel thing write keen
i just feel terrified like im on the edge of a precipice staring ahead,fear,feel terrified like edge precipice star ahead
